Season,Round,Home Team,Away Team,Home Goals,Away Goals,Home FH Goals,Away FH Goals
5,1,Chievo,Inter,2,2,2,1
5,1,Milan,Livorno,2,2,1,1
5,1,Parma,Messina,0,0,0,0
5,1,Roma,Fiorentina,1,0,0,0
5,1,Atalanta,Lecce,2,2,1,1
5,1,Brescia,Juventus,0,3,0,2
5,1,Cagliari,Bologna,1,0,1,0
5,1,Reggina,Udinese,0,0,0,0
5,1,Palermo,Siena,1,0,1,0
5,1,Sampdoria,Lazio,0,1,0,1
5,2,Inter,Palermo,1,1,0,0
5,2,Lecce,Brescia,4,1,1,1
5,2,Livorno,Chievo,1,2,1,0
5,2,Messina,Roma,4,3,1,1
5,2,Fiorentina,Cagliari,2,1,1,0
5,2,Juventus,Atalanta,2,0,1,0
5,2,Bologna,Milan,0,2,0,0
5,2,Udinese,Parma,4,0,1,0
5,2,Siena,Sampdoria,2,1,1,1
5,2,Lazio,Reggina,1,1,1,1
5,3,Chievo,Udinese,0,0,0,0
5,3,Milan,Messina,1,2,0,0
5,3,Parma,Bologna,1,2,0,2
5,3,Roma,Lecce,2,2,0,1
5,3,Atalanta,Inter,2,3,1,0
5,3,Brescia,Lazio,0,2,0,2
5,3,Cagliari,Siena,2,0,1,0
5,3,Reggina,Livorno,2,1,1,1
5,3,Palermo,Fiorentina,0,0,0,0
5,3,Sampdoria,Juventus,0,3,0,1
5,4,Juventus,Palermo,1,1,0,1
5,4,Bologna,Roma,3,1,3,0
5,4,Inter,Parma,2,2,0,1
5,4,Livorno,Atalanta,1,1,0,0
5,4,Messina,Chievo,0,0,0,0
5,4,Fiorentina,Sampdoria,0,2,0,1
5,4,Lecce,Cagliari,3,1,0,0
5,4,Udinese,Brescia,1,2,0,1
5,4,Siena,Reggina,0,0,0,0
5,4,Lazio,Milan,1,2,1,0
5,5,Chievo,Lecce,2,1,0,0
5,5,Cagliari,Brescia,2,1,1,1
5,5,Milan,Reggina,3,1,1,0
5,5,Parma,Fiorentina,0,0,0,0
5,5,Messina,Siena,4,1,2,1
5,5,Roma,Inter,3,3,1,1
5,5,Atalanta,Lazio,1,1,1,0
5,5,Udinese,Juventus,0,1,0,0
5,5,Palermo,Bologna,1,0,1,0
5,5,Sampdoria,Livorno,2,0,0,0
5,6,Livorno,Roma,0,2,0,1
5,6,Juventus,Messina,2,1,1,0
5,6,Inter,Udinese,3,1,2,0
5,6,Fiorentina,Siena,0,0,0,0
5,6,Lecce,Palermo,2,0,0,0
5,6,Brescia,Parma,3,1,2,1
5,6,Cagliari,Milan,0,1,0,1
5,6,Bologna,Atalanta,2,1,1,1
5,6,Reggina,Sampdoria,0,1,0,1
5,6,Lazio,Chievo,0,1,0,0
5,7,Atalanta,Cagliari,2,2,2,2
5,7,Siena,Juventus,0,3,0,0
5,7,Chievo,Reggina,0,0,0,0
5,7,Milan,Inter,0,0,0,0
5,7,Livorno,Bologna,1,0,0,0
5,7,Parma,Lazio,3,1,2,1
5,7,Messina,Lecce,1,4,1,3
5,7,Roma,Palermo,1,1,0,1
5,7,Udinese,Fiorentina,2,2,1,1
5,7,Sampdoria,Brescia,0,1,0,0
5,8,Chievo,Sampdoria,0,2,0,2
5,8,Milan,Atalanta,3,0,0,0
5,8,Lecce,Inter,2,2,1,2
5,8,Brescia,Siena,0,1,0,1
5,8,Cagliari,Parma,2,1,1,0
5,8,Bologna,Udinese,0,1,0,0
5,8,Reggina,Fiorentina,1,2,0,0
5,8,Palermo,Livorno,1,2,1,1
5,8,Lazio,Messina,2,0,1,0
5,8,Juventus,Roma,2,0,1,0
